"REF_DATE","GEO","DGUID","Rental unit type","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-07","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424972","8.2.1","1460","","","","0"
"2025-07","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424973","8.3.1","1730","","","","0"
"2025-07","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424974","8.4.1","1890","","","","0"
"2025-07","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Room","Average asking rent","Dollars","81","units","0","v1675424975","8.5.1","730","","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299241","9.6.1","","..","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299242","9.7.1","2230","E","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425001","9.1.1","1050","","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425002","9.2.1","1240","","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425003","9.3.1","1520","","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425004","9.4.1","","..","","","0"
"2025-07","Québec, Census metropolitan area (CMA)","2021S0503421","Room","Average asking rent","Dollars","81","units","0","v1675425005","9.5.1","570","","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299239","10.6.1","","..","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299240","10.7.1","","..","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424996","10.1.1","","..","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424997","10.2.1","","..","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424998","10.3.1","","..","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424999","10.4.1","","..","","","0"
"2025-07","Saguenay, Census metropolitan area (CMA)","2021S0503408","Room","Average asking rent","Dollars","81","units","0","v1675425000","10.5.1","520","E","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299243","11.6.1","","..","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299244","11.7.1","","..","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425006","11.1.1","820","E","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425007","11.2.1","1100","","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425008","11.3.1","1230","","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425009","11.4.1","1510","","","","0"
"2025-07","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Room","Average asking rent","Dollars","81","units","0","v1675425010","11.5.1","540","","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299245","12.6.1","","..","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299246","12.7.1","","..","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425011","12.1.1","","..","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425012","12.2.1","1030","E","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425013","12.3.1","","..","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425014","12.4.1","","..","","","0"
"2025-07","Trois-Rivières, Census metropolitan area (CMA)","2021S0503442","Room","Average asking rent","Dollars","81","units","0","v1675425015","12.5.1","560","E","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299275","13.6.1","2420","","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299276","13.7.1","2870","","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425086","13.1.1","","..","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425087","13.2.1","1850","","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425088","13.3.1","2150","","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425089","13.4.1","2480","","","","0"
"2025-07","Barrie, Census metropolitan area (CMA)","2021S0503568","Room","Average asking rent","Dollars","81","units","0","v1675425090","13.5.1","770","","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299253","14.6.1","","..","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299254","14.7.1","2580","","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425031","14.1.1","","..","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425032","14.2.1","1590","","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425033","14.3.1","1860","","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425034","14.4.1","","..","","","0"
"2025-07","Belleville - Quinte West, Census metropolitan area (CMA)","2021S0503522","Room","Average asking rent","Dollars","81","units","0","v1675425035","14.5.1","730","","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299267","15.6.1","","..","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299268","15.7.1","2560","","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425066","15.1.1","","..","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425067","15.2.1","1650","","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425068","15.3.1","1890","","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425069","15.4.1","2290","E","","","0"
"2025-07","Brantford, Census metropolitan area (CMA)","2021S0503543","Room","Average asking rent","Dollars","81","units","0","v1675425070","15.5.1","770","","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299277","16.6.1","","..","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299278","16.7.1","2790","","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425091","16.1.1","","..","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425092","16.2.1","1640","","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425093","16.3.1","1950","","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425094","16.4.1","2450","","","","0"
"2025-07","Greater Sudbury, Census metropolitan area (CMA)","2021S0503580","Room","Average asking rent","Dollars","81","units","0","v1675425095","16.5.1","710","","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299269","17.6.1","","..","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299270","17.7.1","3250","","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425071","17.1.1","","..","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425072","17.2.1","1940","","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425073","17.3.1","2260","","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425074","17.4.1","2830","","","","0"
"2025-07","Guelph, Census metropolitan area (CMA)","2021S0503550","Room","Average asking rent","Dollars","81","units","0","v1675425075","17.5.1","860","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299261","18.6.1","2310","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299262","18.7.1","2930","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425051","18.1.1","1400","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425052","18.2.1","1780","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425053","18.3.1","2140","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425054","18.4.1","2540","","","","0"
"2025-07","Hamilton, Census metropolitan area (CMA)","2021S0503537","Room","Average asking rent","Dollars","81","units","0","v1675425055","18.5.1","780","","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299251","19.6.1","","..","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299252","19.7.1","","..","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425026","19.1.1","1300","","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425027","19.2.1","1750","","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425028","19.3.1","1980","","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425029","19.4.1","","..","","","0"
"2025-07","Kingston, Census metropolitan area (CMA)","2021S0503521","Room","Average asking rent","Dollars","81","units","0","v1675425030","19.5.1","800","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299265","20.6.1","2270","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299266","20.7.1","2870","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425061","20.1.1","1490","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425062","20.2.1","1820","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425063","20.3.1","2150","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425064","20.4.1","2500","","","","0"
"2025-07","Kitchener - Cambridge - Waterloo, Census metropolitan area (CMA)","2021S0503541","Room","Average asking rent","Dollars","81","units","0","v1675425065","20.5.1","770","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299271","21.6.1","2080","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299272","21.7.1","2610","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425076","21.1.1","1270","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425077","21.2.1","1610","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425078","21.3.1","1980","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425079","21.4.1","2470","","","","0"
"2025-07","London, Census metropolitan area (CMA)","2021S0503555","Room","Average asking rent","Dollars","81","units","0","v1675425080","21.5.1","740","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299257","22.6.1","2350","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299258","22.7.1","2930","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425041","22.1.1","1450","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425042","22.2.1","1740","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425043","22.3.1","2040","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425044","22.4.1","2460","","","","0"
"2025-07","Oshawa, Census metropolitan area (CMA)","2021S0503532","Room","Average asking rent","Dollars","81","units","0","v1675425045","22.5.1","770","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299237","23.6.1","2530","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299238","23.7.1","3000","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424991","23.1.1","1570","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424992","23.2.1","1920","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424993","23.3.1","2400","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424994","23.4.1","2820","","","","0"
"2025-07","Ottawa - Gatineau (Ontario part), Census metropolitan area (CMA)","2021S050535505","Room","Average asking rent","Dollars","81","units","0","v1675424995","23.5.1","850","","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299255","24.6.1","","..","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299256","24.7.1","","..","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425036","24.1.1","","..","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425037","24.2.1","1620","","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425038","24.3.1","1980","","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425039","24.4.1","2270","","","","0"
"2025-07","Peterborough, Census metropolitan area (CMA)","2021S0503529","Room","Average asking rent","Dollars","81","units","0","v1675425040","24.5.1","760","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299263","25.6.1","2140","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299264","25.7.1","2580","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425056","25.1.1","1380","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425057","25.2.1","1600","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425058","25.3.1","1940","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425059","25.4.1","2260","","","","0"
"2025-07","St. Catharines - Niagara, Census metropolitan area (CMA)","2021S0503539","Room","Average asking rent","Dollars","81","units","0","v1675425060","25.5.1","710","","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299279","26.6.1","","..","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299280","26.7.1","2380","E","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425096","26.1.1","","..","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425097","26.2.1","1420","","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425098","26.3.1","1920","","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425099","26.4.1","","..","","","0"
"2025-07","Thunder Bay, Census metropolitan area (CMA)","2021S0503595","Room","Average asking rent","Dollars","81","units","0","v1675425100","26.5.1","740","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299259","27.6.1","2900","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299260","27.7.1","3700","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425046","27.1.1","1810","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425047","27.2.1","2160","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425048","27.3.1","2720","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425049","27.4.1","3370","","","","0"
"2025-07","Toronto, Census metropolitan area (CMA)","2021S0503535","Room","Average asking rent","Dollars","81","units","0","v1675425050","27.5.1","850","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299273","28.6.1","1910","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299274","28.7.1","2320","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425081","28.1.1","1270","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425082","28.2.1","1510","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425083","28.3.1","1840","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425084","28.4.1","2080","","","","0"
"2025-07","Windsor, Census metropolitan area (CMA)","2021S0503559","Room","Average asking rent","Dollars","81","units","0","v1675425085","28.5.1","620","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299281","29.6.1","1620","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299282","29.7.1","2120","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425101","29.1.1","1030","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425102","29.2.1","1280","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425103","29.3.1","1640","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425104","29.4.1","1900","","","","0"
"2025-07","Winnipeg, Census metropolitan area (CMA)","2021S0503602","Room","Average asking rent","Dollars","81","units","0","v1675425105","29.5.1","600","","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299283","30.6.1","1500","E","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299284","30.7.1","2110","","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425106","30.1.1","960","","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425107","30.2.1","1240","","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425108","30.3.1","1470","","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425109","30.4.1","1740","","","","0"
"2025-07","Regina, Census metropolitan area (CMA)","2021S0503705","Room","Average asking rent","Dollars","81","units","0","v1675425110","30.5.1","630","","","","0"
"2025-07","Saskatoon, Census metropolitan area (CMA)","2021S0503725","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299285","31.6.1","1800","","","","0"
"2025-07","Saskatoon, Census metropolitan area (CMA)","2021S0503725","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299286","31.7.1","2220","","","","0"
"2025-07","Saskatoon, Census metropolitan area (CMA)","2021S0503725","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425111","31.1.1","1090","E","","","0"
"2025-07","Saskatoon, Census metropolitan area (CMA)","2021S0503725","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425112","31.2.1","1330","","","","0"
"2025-07","Saskatoon, Census metropolitan area (CMA)","2021S0503725","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425113","31.3.1","1600","","","","0"
